GI,GenBank Accession,UniProt Accession,UniProt Entry ID
,ABJ54299.1,A0A0H2ZNX9,A0A0H2ZNX9_STRP2
,ABJ54582.1,A0A0H2ZNY0,A0A0H2ZNY0_STRP2
,ABJ54407.1,A0A0H2ZNY1,A0A0H2ZNY1_STRP2
,ABJ54818.1,A0A0H2ZNY2,A0A0H2ZNY2_STRP2
,ABJ54914.1,A0A0H2ZNY3,A0A0H2ZNY3_STRP2
,ABJ54587.1,A0A0H2ZNY6,A0A0H2ZNY6_STRP2
,ABJ54825.1,A0A0H2ZNY7,A0A0H2ZNY7_STRP2
,ABJ54922.1,A0A0H2ZNY8,A0A0H2ZNY8_STRP2
,ABJ54311.1,A0A0H2ZNY9,A0A0H2ZNY9_STRP2
,ABJ54593.1,A0A0H2ZNZ0,A0A0H2ZNZ0_STRP2
,ABJ54419.1,A0A0H2ZNZ1,A0A0H2ZNZ1_STRP2
,ABJ54830.1,A0A0H2ZNZ2,A0A0H2ZNZ2_STRP2
,ABJ54930.1,A0A0H2ZNZ3,A0A0H2ZNZ3_STRP2
,ABJ54317.1,A0A0H2ZNZ4,A0A0H2ZNZ4_STRP2
,ABJ54598.1,A0A0H2ZNZ6,A0A0H2ZNZ6_STRP2
,ABJ54837.1,A0A0H2ZNZ8,A0A0H2ZNZ8_STRP2
,ABJ54323.1,A0A0H2ZNZ9,A0A0H2ZNZ9_STRP2
,ABJ54603.1,A0A0H2ZP00,A0A0H2ZP00_STRP2
,ABJ54429.1,A0A0H2ZP01,A0A0H2ZP01_STRP2
,ABJ54947.1,A0A0H2ZP02,A0A0H2ZP02_STRP2
,ABJ54844.1,A0A0H2ZP04,A0A0H2ZP04_STRP2
,ABJ54610.1,A0A0H2ZP05,A0A0H2ZP05_STRP2
,ABJ54952.1,A0A0H2ZP07,A0A0H2ZP07_STRP2
,ABJ54337.1,A0A0H2ZP08,A0A0H2ZP08_STRP2
,ABJ54615.1,A0A0H2ZP10,A0A0H2ZP10_STRP2
,ABJ54441.1,A0A0H2ZP11,A0A0H2ZP11_STRP2
,ABJ54960.1,A0A0H2ZP12,A0A0H2ZP12_STRP2
,ABJ54620.1,A0A0H2ZP14,A0A0H2ZP14_STRP2
,ABJ54446.1,A0A0H2ZP15,A0A0H2ZP15_STRP2
,ABJ54854.1,A0A0H2ZP16,A0A0H2ZP16_STRP2
